title,artist,genre,rating,status
Sixpence None the Richer,Sixpence None the Richer,Pop,,
A Secret History,The Divine Comedy,Rock,,
The Best Album in the World…Ever!,Virgin Records,Various,,
Simply Christmas Crooners 04,,Christmas,,
Spirits Colliding,Paul Brady,Irish,,
Middle of Nowhere,Hanson,Pop,,
If We Fall in Love Tonight,Rod Stewart,Rock,,
Hearts in Mind,Nanci Griffith,Folk,,
The Best of Santana,Santana,Latin,,
"It's Not Me, It's You",Lily Allen,Pop,,
Matt Monro,Matt Monro,Jazz,,
Greatest Christmas Songs Ever,Various Artists,Christmas,,
Addicted to Company,Paddy Casey,Irish,,
Harlem Gospel Choir,Harlem Gospel Choir,Gospel,,
Sell Sell Sell,David Gray,Rock,,
One Ticket Home,Gavin James,Pop,,
Simply Christmas Crooners 03,,Christmas,,
Viva La Vida,Coldplay,Rock,4,Listened
Frozen,,Soundtrack,,
New Beginning,Tracy Chapman,Folk,,
Discovery Gospel Choir,Discovery Gospel Choir,Gospel,,
In the End,The Cranberries,Rock,,
Christmas,Michael Buble,Christmas,,
Unplugged,Eric Clapton,Blues,,
Ramblin' Rose,Nat King Cole,Jazz,,
Back to Bedlam,James Blunt,Pop,,
Closing Time,Tom Waits,Rock,,
Halloween Party Monster Mix,,Various,,
Nothing Has Changed,David Bowie,Rock,,
The Best of 1990-2000,U2,Rock,,
Tiempo de Caminar,Paco Padilla,Latin,,
Divide,Ed Sheeran,Pop,,
Mercury Poise: 1988-1995,Michelle Shocked,Folk,,
The Very Best of Atomic Blonde,Atomic Blonde,Rock,,
Our Town,Deacon Blue,Rock,,
The Globe Sessions,Sheryl Crow,Rock,,
Christmas with the Mormon Tabernacle Choir,,Christmas,,
The Piano and the Song,,Classical,,
Rites of Passage,Indigo Girls,Folk,,
Up the Deise,John Stack,Irish,,
Trick or Treat,Paul Brady,Irish,,
Christmas Songs,Greatest Ever!,Christmas,,
Simply Eva,Eva Cassidy,Folk,,
Fats Domino,Fats Domino,Soul,,
Diva,Annie Lennox,Pop,,
My Life,Iris De Ment,Country,,
The Man Who,Travis,Rock,,
Mozart,Cleveland Orchestra,Classical,,
Days Like This,Van Morrison,Irish,,
The Love Album 2,,Various,,
A Retrospective,Nanci Griffith,Folk,,
Tom Jones Greatest Hits,Tom Jones,Pop,,
Sheila Rios,Sheila Rios,Latin,,
Jolene,Dolly Parton,Country,,
The Memory of Trees,Enya,World,,
Out of My Head ,Kieran Goss,Irish,,
How High the Moon,Frances Black,Irish,,
Prairie Dogs,Prairie Dogs,Country,,
Little Earthquakes,Tori Amos,Rock,,
The Long Black Veil,The Chieftains,Irish,,
Breast Cancer Fight,Ann Taylor,Various,,
Bolero,Ravel,Classical,,
Sacred Fire,Santana,Latin,,
Pieces of You,Jewel,Folk,,
Nice and Easy,St Michael,Jazz,,
Kid A,Radiohead,Rock,4,Listened
Mine & Yours,Byrne,Irish,,
Greatest Irish Bands,Celtic Collections,Irish,,
Joe Cocker's Greatest Hits,Joe Cocker,Rock,,
#3,The Script,Rock,,
No Line on the Horizon,U2,Rock,,
Sheryl Crow,Sheryl Crow,Rock,,
Wild One ,Thin Lizzy,Rock,,
Red Hot & Loving It,Red,Pop,,
Be Here Now,Oasis,Rock,,
Dino,Dean Martin,Jazz,,
The Very Best of The Drifters,The Drifters up on the Roof,Soul,,
Soulbook,Rod Stewart,Jazz,,
Not that Kind,Anastacia,Pop,,
Latin Tropical,Santana,Latin,,
Grease,Grease,Soundtrack,,
Safe Trip Home,Dido,Pop,,
A Woman's Heart,Darte,Irish,,
Money for Nothing,Dire Straits,Rock,,
Roger Whittaker,Roger Whittaker,Folk,,
Requiem,Wolfgang Amadeus Mozart,Classical,,
The Mission,Ennio Morricone,Soundtrack,,
Under a Blood Red Sky,U2,Rock,,
Yes I Am,Melissa Etheridge,Rock,,
Hits of the 70's,Cosmopolitan,Various,,
The Masterplan,Oasis,Rock,,
Scotland the Brave,Delta Music,World,,
Feels Like Home,Norah Jones,Jazz,,
Magnolia,Aimee Mann,Rock,,
So Much for the City,The Thrills,Rock,,
Send In the Clowns,Tom Jones,Pop,,
Louis Armstrong Gold Collection,Louis Armstrong,Jazz,,
The Very Best of Edith Piaf,Edith Piaf,World,,
Sam's Town,The Killers,Rock,,
Oh What a World,Paul Brady,Irish,,
Science & Faith,The Script,Rock,,
Freedom Child,The Script,Rock,,
Vienna Symphony,Domingo,Classical,,
The Very Best of Aretha Franklin,Aretha Franklin,Soul,,
On How Life Is,Macy Gray,Soul,,
I Believe I Can Fly,The Bachelors,Pop,,
Shame About Lucy Moonhead,Aslan,Rock,,
Surfacing,Sarah McLachlan,Pop,,
Requiem,Andrew Lloyd Webber,Classical,,
The Rebel,Johnny Cash,Country,,
Love Among the Ruins,"10,000 Maniacs",Rock,,
"The Best Latino ""Carnival"" in the World…Ever!",Virgin Records,Latin,,
The Script,The Script,Rock,,
Tears of Stone,The Chieftains,Irish,,
The Christy Moore Collection,Christy Moore,Irish,,
Faith of Our Feathers,Dustin,Irish,,
Partners,Barbra Streisand,Pop,,
Classical Highlights Volume 2,Musicbank,Classical,,
Wrecking Ball,Bruce Springsteen,Rock,,
Tracy Chapman,Tracy Chapman,Folk,,
Final Straw,Snow Patrol,Rock,,
Beethoven,Beethoven,Classical,,
Jerry Butler Greatest Hits,Jerry Butler,Soul,,
Bee Gees Number Ones,Bee Gees,Pop,,
To the Faithful Departed ,The Cranberries,Rock,,
Anthology,Bryan Adams,Rock,,
Baby Food,Onyan,Children,,
The Best of Mpeople,Mpeople,Pop,,
Come Fly With Me,Michael Buble,Jazz,,
Karaoke Party Hits Volume 3,Popstarz,Various,,
Scrap the Collection,Dermot Morgan,Comedy,,
Rattle and Hum,U2,Rock,,
Jazz Ladies,Warner Jazz France,Jazz,,
Symphonies Nos. 1&3,Jean Sibelius,Classical,,
Country Ladies,MCA,Country,,
Life for Rent,Dido,Pop,,
Come on Come on,Mary-Chapin Carpenter,Country,,
October,U2,Rock,,
Be Yourself,Jerry Fish & The Mudbug Club,Rock,,
Sigh No More,Mumford,Folk,,
Ultimate 60s,Sony Music,Various,,
Memory Almost Full,Paul McCartney,Rock,,
The Unforgettable Fire,U2,Rock,,
Memories The '68 Comeback Special,Elvis Presley,Rock,,
Ten Summoner's Tales,Sting,Rock,,
Moon Landing,James Blunt,Pop,,
Songs for the Soul,Waterford-Omagh Peace Choir,Gospel,,
A Woman's Heart 2,Darte,Irish,,
In a Perfect World,Kodaline,Rock,,
In and Out of Consciousness,Robbie Williams,Rock,,
The Joshua Tree,U2,Rock,,
Something Happens,"Alan, Elvis & God",Rock,,
Tigerlily,Natalie Merchant,Pop,,
Carpenters,Carpenters,Pop,,
War,U2,Rock,,
All that You Can't Leave Behind,U2,Rock,,
Morrissey Greatest Hits,Morrissey,Rock,,
By Request,Boyzone,Pop,,
Song Book,Paul Brady,Irish,,
Melissa Etheridge,Melissa Etheridge,Rock,,
The Ballads,Ella Fitzgerald,Jazz,,
One Woman,Diana Ross,Soul,,
Simply Christmas Crooners,Union Square,Christmas,,
Voice of an Angel,Charlotte Church,Classical,,
The Wall's Christmas Classics,The Wall,Christmas,,
Live at Stormont,The Omagh-Waterford Peace Choir,Irish,,
Come Away with Me,Norah Jones,Jazz,,
The Invisible Band,Travis,Rock,,
The Very Best of Nina Simone,Nina Simone,Jazz,,
Hard Act to Follow,E.C. Scott,Blues,,
Halfway to Poughkeepsie,The Prairie Dawgs,Folk,,
Dirty Dancing,Dirty Dancing,Soundtrack,,
The Real…Nina Simone,Nina Simone,Jazz,,
Greatest Ever Christmas Songs,Union Square,Christmas,,
Trouble,Ray Lamontagne,Folk,,
Pure Acoustic,Sony Music,Various,,
The Very Best of Gipsy Kings,Gipsy Kings,Latin,,
Beethoven Symphony No. 9 in D Minor,Beethoven,Classical,,
MTV Unplugged,"10,000 Maniacs",Rock,,
Magic of the Movies,Andre Rieu,Classical,,
(What's the Story) Morning Glory?,Oasis,Rock,,
Draw the Line,David Gray,Rock,,
No Angel,Dido,Pop,,
Turnaround,Westlife,Pop,,
The E.N.D,The Black Eyed Peas,Pop,,
Robbie Williams Greatest Hits,Robbie Williams,Pop,,
David Gray Greatest Hits,David Gray,Rock,,
The Best Album in the World…Ever! 2,Virgin Records,Various,,
In Time: The Best of R.E.M. 1988-2003,R.E.M.,Rock,,
All the Lost Souls,James Blunt,Pop,,
Eyes Open,Snow Patrol,Rock,,
Dreams,Neil Diamond,Pop,,
Fireside Favourites at Christmas,Play 24-7,Christmas,,
A Woman's Heart Then & Now,Darte,Irish,,
Pachelbel Canon,James Galway,Classical,,
The Joshua Tree,Universal,Rock,,
Hits of the 70's 2,Cosmopolitan,Various,,
You Wear It Well,Rod Stewart,Rock,,
The Prairie Dawgs,The Prairie Dawgs,Country,,
Island,Shawn Mendes,Pop,,
Classical Highlights Volume 1,Musicbank,Classical,,
The Concert in Central Park,Simon and Garfunkel,Folk,,
The Three Tenors at Christmas,K-Tel,Classical,,
Picture This,Picture This,Pop,,
Leonard Cohen Greatest Hits,Leonard Cohen,Folk,,
My Way: The Best of Frank Sinatra,Frank Sinatra,Jazz,,
Hard Station,Paul Brady,Irish,,
Icon,Cat Stevens,Folk,,
Creedence Clearwater Revival,Chronicle,Rock,,
Simply Christmas Crooners 2,Union Square,Christmas,,
The Very Best of Ennio Morricone,Ennio Morricone,Soundtrack,,
Happy Songs,Virgin Records,Various,,
Primitive Dance,Paul Brady,Irish,,
"Everybody Else is Doing it, So Why Can't We?",The Cranberries,Rock,,
The Best of Sting 1984-1994,Sting,Rock,,
Mercury Falling,Sting,Rock,,
James Taylor,James Taylor,Folk,,
So Far…The Best of Sinead O'Connor,Sinead O'Connor,Irish,,
The Very Best of Dusty Springfield,Dusty Springfield,Soul,,
